Year,Month,Day,Hour,SiteId,RelativeHumidity %,Windspeed kts,WindDirection,GlobalHorizontalIrradiation W/m^2,DiffuseHorizontalRadiation W/m^2,DirectNormalIrradiation W/m^2,Temperature C,DewPointTemperature C,WetBulbTemperature C,SurfacePressure kPa,WindChillTemperature C,ApparentTemperature C,windspeed KPH,PrecipPrvHour cm,DownwardTerrestrialRadiation W/m^2,CldCvr %,MeanSeaLevelPressure kPa,ExtraTerrestrialHorizontalRadiation W/m^2,ExtraTerrestrialNormalRadiation W/m^2
2010,1,1,1,2087599580,40.6,9.5,84.0,0.0,0.0,0.0,11.7,-1.3,5.9,98.7,11.7,11.7,17.5,0.0,270.0,17.0,102.5,0.0,0.0
2010,1,1,2,2087599580,38.0,9.1,82.0,0.0,0.0,0.0,11.4,-2.4,5.4,98.6,11.4,11.4,16.9,0.0,269.0,15.0,102.5,0.0,0.0
2010,1,1,3,2087599580,36.3,8.9,78.0,0.0,0.0,0.0,11.2,-3.2,5.0,98.6,11.2,11.2,16.4,0.0,268.0,18.0,102.5,0.0,0.0
2010,1,1,4,2087599580,35.0,8.8,75.0,0.0,0.0,0.0,11.0,-3.9,4.8,98.6,11.0,11.0,16.3,0.0,268.0,15.0,102.4,0.0,0.0
2010,1,1,5,2087599580,34.0,8.9,73.0,0.0,0.0,0.0,10.8,-4.4,4.5,98.5,10.8,10.8,16.5,0.0,267.0,18.0,102.4,0.0,0.0
2010,1,1,6,2087599580,36.1,8.6,71.0,0.0,0.0,0.0,10.9,-3.6,4.8,98.5,10.9,10.9,15.8,0.0,268.0,12.0,102.3,0.0,0.0
2010,1,1,7,2087599580,35.0,9.0,73.0,0.0,0.0,0.0,10.9,-4.0,4.7,98.5,10.9,10.9,16.6,0.0,268.0,14.0,102.3,0.0,0.0
2010,1,1,8,2087599580,34.3,9.2,74.0,0.0,0.0,0.0,10.8,-4.3,4.6,98.5,10.8,10.8,17.0,0.0,268.0,16.0,102.3,0.0,0.0
2010,1,1,9,2087599580,31.9,8.4,74.0,121.0,65.0,332.0,12.0,-4.2,5.2,98.5,12.0,12.0,15.5,0.0,270.0,19.0,102.4,154.0,1413.0
2010,1,1,10,2087599580,31.1,7.0,74.0,311.0,89.0,798.0,14.0,-2.8,6.6,98.5,14.0,14.0,12.9,0.0,277.0,26.0,102.4,393.0,1413.0
2010,1,1,11,2087599580,33.1,4.8,78.0,461.0,77.0,923.0,16.2,-0.1,8.4,98.5,16.2,16.2,8.8,0.0,283.0,27.0,102.3,587.0,1413.0
